Program,Site,Customer,Backup,Notify,Lab,Dynamic,Version
ARL,BDC,rajeshr1,vmanjuna,Readiness Lab BDC,ECO3-2A iVE Lab,NEW,1.3
ARL H 682,Folsom,jsutaria,ydowling,Readiness Lab FM,NA,,
ARL S,Guadalajara,vhperezh,gaangulo,Readiness Lab GDC,NA,,
GNR WS,IDC,ychernis,orenshak,Readiness Lab IDC,NA,,
GNR WS,Jerusalem,orenshak,ychernis,Readiness Lab IDC,NA,,
GNR WS,Kulim,bteoh,pingping,Readiness Lab PG,KM6 iVE Lab,,
NVL AX,Oregon,allanhaw,jcapella,jcooley,NA,,
NVL H,Penang,pingping,bteoh,Readiness Lab PG,PG16 iVE Lab,,
NVL HX,,,,,,,
NVL P,,,,,,,
NVL PCH S,,,,,,,
NVL S,,,,,,,
NVL U,,,,,,,
PTL H,,,,,,,
PTL P,,,,,,,
PTL U,,,,,,,
RZL H,,,,,,,
RZL H,,,,,,,
RZL HX,,,,,,,
RZL P,,,,,,,
RZL S,,,,,,,
TGL,,,,,,,
WLC,,,,,,,
